Product ID,Published State,Purchase Type,Auto Translate,Locale; Title; Description,Auto Fill Prices,Price,Pricing Template ID
starter_pack,published,managed_by_android,false,"en_GB;Starter Pack;XP bonus, 5 lives, 5000 coind, 15 diamonds",true,4990000,
one_diamond,published,managed_by_android,false,en_GB;Single Diamond;diamond (1),true,990000,
five_diamond,published,managed_by_android,false,en_GB;Circle of Jewels;diamonds(5),true,1990000,
fifteen_diamond,published,managed_by_android,false,en_GB;Bejeweled Crown;diamonds(15),true,2990000,
thirty_diamond,published,managed_by_android,false,en_GB;Iced Out Shark;diamond(30),true,3990000,
one_lives,published,managed_by_android,false,en_GB;Lone Heart;life(1),true,990000,
five_lives,published,managed_by_android,false,en_GB;School of Hearts;life(5),true,1990000,
fifteen_lives,published,managed_by_android,false,en_GB;Tray of Lives;life(15),true,2990000,
thirty_lives,published,managed_by_android,false,en_GB;Bag of Love;life(30),true,3990000,
coins_100,published,managed_by_android,false,en_GB;Spare Change;coins(100),true,990000,
coins_1000,published,managed_by_android,false,en_GB;Stack of Coins;coins(1000),true,1990000,
coins_5000,published,managed_by_android,false,en_GB;Suitcase of Coins;coins(5000),true,2990000,
coin_10000,published,managed_by_android,false,en_GB;Pot of Gold;coins(10000),true,3990000,
no_ads,published,managed_by_android,false,en_GB;No ads;no ads,true,1990000,
